collection_name;catalog_element_id;status;use_license_id;optional;backup;vm_naming;commercial_name;short_name;os_family;version;type;language;architecture;description;min_mo;max_mo;ram_unlimited;min_mhz;cpu_unlimited;vcpu_min;vcpu_max;use_catalog_element_id
UCaaS CUEACs ITD;24009;available;00001;true;ImageLevel;CUEAC25S04;CUEAC UCaaS 3+25-HCS862V1;CUEAC25S04-HCS862V1;Windows 2008;1.2 V1;CUEAC04;FR;64bits;CUEAC troisieme increment de 25 operatrices HCS8.6.2 V1;4096;4096;true;256;true;1;1;23
UCaaS CUEACs ITD;44009;available;00001;true;ImageLevel;CUEAC25S04;CUEAC UCaaS 3+25-HCS862V3;CUEAC25S04-HCS862V3;Windows 2008;ITDv3.0;CUEAC04;FR;64bits;CUEAC troisieme increment de 25 operatrices HCS8.6.2 V3;6128;6128;true;2300;true;1;1;23
UCaaS CUEACs ITD;14010;available;00001;true;ImageLevel;CUEAC25S05;CUEAC UCaaS 4+25-HCS861V1;CUEAC25S05-HCS861V1;Windows 2008;1.2 V1;CUEAC05;FR;64bits;CUEAC quatrieme increment de 25 operatrices HCS8.6.1 V1;4096;4096;true;256;true;1;1;23
UCaaS CUEACs ITD;24010;available;00001;true;ImageLevel;CUEAC25S05;CUEAC UCaaS 4+25-HCS862V1;CUEAC25S05-HCS862V1;Windows 2008;1.2 V1;CUEAC05;FR;64bits;CUEAC quatrieme increment de 25 operatrices HCS8.6.2 V1;4096;4096;true;256;true;1;1;23
UCaaS CUEACs ITD;44010;available;00001;true;ImageLevel;CUEAC25S05;CUEAC UCaaS 4+25-HCS862V3;CUEAC25S05-HCS862V3;Windows 2008;ITDv3.0;CUEAC05;FR;64bits;CUEAC quatrieme increment de 25 operatrices HCS8.6.2 V3;6128;6128;true;2300;true;1;1;23
UCaaS CUEACs ITD;14011;available;00001;true;ImageLevel;CUEAC25S06;CUEAC UCaaS 5+25-HCS861V1;CUEAC25S06-HCS861V1;Windows 2008;1.2 V1;CUEAC06;FR;64bits;CUEAC cinquieme increment de 25 operatrices HCS8.6.1 V1;4096;4096;true;256;true;1;1;23
UCaaS CUEACs ITD;24011;available;00001;true;ImageLevel;CUEAC25S06;CUEAC UCaaS 5+25-HCS862V1;CUEAC25S06-HCS862V1;Windows 2008;1.2 V1;CUEAC06;FR;64bits;CUEAC cinquieme increment de 25 operatrices HCS8.6.2 V1;4096;4096;true;256;true;1;1;23
UCaaS CUEACs ITD;44011;available;00001;true;ImageLevel;CUEAC25S06;CUEAC UCaaS 5+25-HCS862V3;CUEAC25S06-HCS862V3;Windows 2008;ITDv3.0;CUEAC06;FR;64bits;CUEAC cinquieme increment de 25 operatrices HCS8.6.2 V3;6128;6128;true;2300;true;1;1;23
UCaaS CUEACs ITD;14012;available;00001;true;ImageLevel;CUEAC25S07;CUEAC UCaaS 6+25-HCS861V1;CUEAC25S07-HCS861V1;Windows 2008;1.2 V1;CUEAC07;FR;64bits;CUEAC sixieme increment de 25 operatrices HCS8.6.1 V1;4096;4096;true;256;true;1;1;23
UCaaS CUEACs ITD;24012;available;00001;true;ImageLevel;CUEAC25S07;CUEAC UCaaS 6+25-HCS862V1;CUEAC25S07-HCS862V1;Windows 2008;1.2 V1;CUEAC07;FR;64bits;CUEAC sixieme increment de 25 operatrices HCS8.6.2 V1;4096;4096;true;256;true;1;1;23
UCaaS CUEACs ITD;44012;available;00001;true;ImageLevel;CUEAC25S07;CUEAC UCaaS 6+25-HCS862V3;CUEAC25S07-HCS862V3;Windows 2008;ITDv3.0;CUEAC07;FR;64bits;CUEAC sixieme increment de 25 operatrices HCS8.6.2 V3;6128;6128;true;2300;true;1;1;23
UCaaS CUEACs ITD;14013;available;00001;true;ImageLevel;CUEAC25S08;CUEAC UCaaS 7+25-HCS861V1;CUEAC25S08-HCS861V1;Windows 2008;1.2 V1;CUEAC08;FR;64bits;CUEAC septieme increment de 25 operatrices HCS8.6.1 V1;4096;4096;true;256;true;1;1;23
UCaaS CUEACs ITD;24013;available;00001;true;ImageLevel;CUEAC25S08;CUEAC UCaaS 7+25-HCS862V1;CUEAC25S08-HCS862V1;Windows 2008;1.2 V1;CUEAC08;FR;64bits;CUEAC septieme increment de 25 operatrices HCS8.6.2 V1;4096;4096;true;256;true;1;1;23
UCaaS CUEACs ITD;44013;available;00001;true;ImageLevel;CUEAC25S08;CUEAC UCaaS 7+25-HCS862V3;CUEAC25S08-HCS862V3;Windows 2008;ITDv3.0;CUEAC08;FR;64bits;CUEAC septieme increment de 25 operatrices HCS8.6.2 V3;6128;6128;true;2300;true;1;1;23
UCaaS CUEACs ITD;14014;available;00001;true;ImageLevel;CUEAC25S09;CUEAC UCaaS 8+25-HCS861V1;CUEAC25S09-HCS861V1;Windows 2008;1.2 V1;CUEAC09;FR;64bits;CUEAC huitieme increment de 25 operatrices HCS8.6.1 V1;4096;4096;true;256;true;1;1;23
UCaaS CUEACs ITD;24014;available;00001;true;ImageLevel;CUEAC25S09;CUEAC UCaaS 8+25-HCS862V1;CUEAC25S09-HCS862V1;Windows 2008;1.2 V1;CUEAC09;FR;64bits;CUEAC huitieme increment de 25 operatrices HCS8.6.2 V1;4096;4096;true;256;true;1;1;23
UCaaS CUEACs ITD;44014;available;00001;true;ImageLevel;CUEAC25S09;CUEAC UCaaS 8+25-HCS862V3;CUEAC25S09-HCS862V3;Windows 2008;ITDv3.0;CUEAC09;FR;64bits;CUEAC huitieme increment de 25 operatrices HCS8.6.2 V3;6128;6128;true;2300;true;1;1;23
UCaaS CUEACs ITD;34015;available;00001;true;ImageLevel;CUEAC6-25S01;CUEAC UCaaS 1-6 operatrices-HCS862V2-MW2;CUEAC6-25S01E-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC01;FR;64bits;CUEAC International 6 operatrices SQL-Express avec installation Middleware HCS8.6.2 V2;6144;6144;true;2300;true;1;1;61
UCaaS CUEACs ITD;34016;available;00001;true;ImageLevel;CUEAC6-25S01;CUEAC UCaaS 6-25 operatrices-HCS862V2-MW2;CUEAC6-25S01S-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC01;FR;64bits;CUEAC International 25 operatrices SQL-Standard avec installation middleware HCS8.6.2 V2;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;34007;available;00001;true;ImageLevel;CUEAC25S02;CUEAC UCaaS 1+25-HCS862V2-MW2;CUEAC25S02-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC02;FR;64bits;CUEAC International premier incrément de 25 operatrices HCS8.6.2 V2;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;34008;available;00001;true;ImageLevel;CUEAC25S03;CUEAC UCaaS 2+25-HCS862V2-MW2;CUEAC25S03-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC03;FR;64bits;CUEAC International second incrément de 25 operatrices HCS8.6.2 V2;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;34009;available;00001;true;ImageLevel;CUEAC25S04;CUEAC UCaaS 3+25-HCS862V2-MW2;CUEAC25S04-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC04;FR;64bits;CUEAC International troisieme incrément de 25 operatrices HCS8.6.2 V2;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;34010;available;00001;true;ImageLevel;CUEAC25S05;CUEAC UCaaS 4+25-HCS862V2-MW2;CUEAC25S05-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC05;FR;64bits;CUEAC International quatrieme incrément de 25 operatrices HCS8.6.2 V2;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;34011;available;00001;true;ImageLevel;CUEAC25S06;CUEAC UCaaS 5+25-HCS862V2-MW2;CUEAC25S06-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC06;FR;64bits;CUEAC International cinquieme incrément de 25 operatrices HCS8.6.2 V2;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;34012;available;00001;true;ImageLevel;CUEAC25S07;CUEAC UCaaS 6+25-HCS862V2-MW2;CUEAC25S07-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC07;FR;64bits;CUEAC International sixieme incrément de 25 operatrices HCS8.6.2 V2;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;34013;available;00001;true;ImageLevel;CUEAC25S08;CUEAC UCaaS 7+25-HCS862V2-MW2;CUEAC25S08-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC08;FR;64bits;CUEAC International septième incrément de 25 operatrices HCS8.6.2 V2;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;34014;available;00001;true;ImageLevel;CUEAC25S09;CUEAC UCaaS 8+25-HCS862V2-MW2;CUEAC25S09-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC09;FR;64bits;CUEAC International huitième incrément de 25 operatrices HCS8.6.2 V2;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;54015;available;00001;true;ImageLevel;CUEAC6-25S01;CUEAC UCaaS 1-6 operatrices-HCS862V4-MW2;CUEAC6-25S01E-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC01;FR;64bits;CUEAC International 6 operatrices SQL-Express avec installation Middleware HCS8.6.2 V4;6144;6144;true;2300;true;1;1;61
UCaaS CUEACs ITD;54016;available;00001;true;ImageLevel;CUEAC6-25S01;CUEAC UCaaS 6-25 operatrices-HCS862V4-MW2;CUEAC6-25S01S-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC01;FR;64bits;CUEAC International 25 operatrices SQL-Standard avec installation middleware HCS8.6.2 V4;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;54007;available;00001;true;ImageLevel;CUEAC25S02;CUEAC UCaaS 1+25-HCS862V4-MW2;CUEAC25S02-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC02;FR;64bits;CUEAC International premier incrément de 25 operatrices HCS8.6.2 V4;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;54008;available;00001;true;ImageLevel;CUEAC25S03;CUEAC UCaaS 2+25-HCS862V4-MW2;CUEAC25S03-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC03;FR;64bits;CUEAC International second incrément de 25 operatrices HCS8.6.2 V4;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;54009;available;00001;true;ImageLevel;CUEAC25S04;CUEAC UCaaS 3+25-HCS862V4-MW2;CUEAC25S04-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC04;FR;64bits;CUEAC International troisieme incrément de 25 operatrices HCS8.6.2 V4;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;54010;available;00001;true;ImageLevel;CUEAC25S05;CUEAC UCaaS 4+25-HCS862V4-MW2;CUEAC25S05-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC05;FR;64bits;CUEAC International quatrieme incrément de 25 operatrices HCS8.6.2 V4;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;54011;available;00001;true;ImageLevel;CUEAC25S06;CUEAC UCaaS 5+25-HCS862V4-MW2;CUEAC25S06-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC06;FR;64bits;CUEAC International cinquieme incrément de 25 operatrices HCS8.6.2 V4;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;54012;available;00001;true;ImageLevel;CUEAC25S07;CUEAC UCaaS 6+25-HCS862V4-MW2;CUEAC25S07-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC07;FR;64bits;CUEAC International sixieme incrément de 25 operatrices HCS8.6.2 V4;6144;6144;true;2300;true;1;1;62
UCaaS CUEACs ITD;54013;available;00001;true;ImageLevel;CUEAC25S08;CUEAC UCaaS 7+25-HCS862V4-MW2;CUEAC25S08-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC08;FR;64bits;CUEAC International septième incrément de 25 operatrices HCS8.6.2 V4;6144;6144;true;2300;true;1;1;62
