indice;catalog_element_id;optional;vmnaming;hostnaming;commercialname;shortname;osfamily;version;type;language;architecture;description;useapplicationtypeid;minmo;maxmo;minmhz;mincpu;maxcpu;middlewareid;role;isrelay;repupgrade
53;34010;true;CUEAC25S05;CU5;CUEAC UCaaS 4+25-HCS862V2-MW2;CUEAC25S05-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC05;FR;64bits;CUEAC International quatrieme incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;"";;
54;34011;true;CUEAC25S06;CU6;CUEAC UCaaS 5+25-HCS862V2-MW2;CUEAC25S06-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC06;FR;64bits;CUEAC International cinquieme incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;"";;
55;34012;true;CUEAC25S07;CU7;CUEAC UCaaS 6+25-HCS862V2-MW2;CUEAC25S07-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC07;FR;64bits;CUEAC International sixieme incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;"";;
56;34013;true;CUEAC25S08;CU8;CUEAC UCaaS 7+25-HCS862V2-MW2;CUEAC25S08-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC08;FR;64bits;CUEAC International septième incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;"";;
57;34014;true;CUEAC25S09;CU9;CUEAC UCaaS 8+25-HCS862V2-MW2;CUEAC25S09-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC09;FR;64bits;CUEAC International huitième incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;"";;
58;54015;true;CUEAC6-25S01;CU1;CUEAC UCaaS 1-6 operatrices-HCS862V4-MW2;CUEAC6-25S01E-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC01;FR;64bits;CUEAC International 6 operatrices SQL-Express avec installation Middleware HCS8.6.2 V4;CUEAC;6144;6144;2300;1;1;61;"";;
59;54016;true;CUEAC6-25S01;CU1;CUEAC UCaaS 6-25 operatrices-HCS862V4-MW2;CUEAC6-25S01S-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC01;FR;64bits;CUEAC International 25 operatrices SQL-Standard avec installation middleware HCS8.6.2 V4;CUEAC;6144;6144;2300;1;1;62;"";;
60;54007;true;CUEAC25S02;CU2;CUEAC UCaaS 1+25-HCS862V4-MW2;CUEAC25S02-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC02;FR;64bits;CUEAC International premier incrément de 25 operatrices HCS8.6.2 V4;CUEAC;6144;6144;2300;1;1;62;"";;
61;54008;true;CUEAC25S03;CU3;CUEAC UCaaS 2+25-HCS862V4-MW2;CUEAC25S03-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC03;FR;64bits;CUEAC International second incrément de 25 operatrices HCS8.6.2 V4;CUEAC;6144;6144;2300;1;1;62;"";;
62;54009;true;CUEAC25S04;CU4;CUEAC UCaaS 3+25-HCS862V4-MW2;CUEAC25S04-HCS862V4-MW2;Windows 2008;ITDV1.0;CUEAC04;FR;64bits;CUEAC International troisieme incrément de 25 operatrices HCS8.6.2 V4;CUEAC;6144;6144;2300;1;1;62;"";;
