22';'Implemented';'Maintenance';'SP551.f';'3.3';'CHY - Ucaas Cisco ';'UCaaS Cisco (1000 users)  8.6.1-V1';'Topologie UCaaS Cisco (1000 users)  8.6.1-V1';'?';'?';'';'UCS_VAUC1000';'Vapp UC 1000 users 8.6.1 V1 (1 Publisher, 1 Subscriber, 1 Unity et 1 CUPS)';'  UCaaS Cisco  (1000 users)';'UC1000PS01';'19';'';'UC1000PS01-861V1';'UC1000PS01';'UCPS01 (CUPS) 1000 users HCH8.6.1 V1';'';'Template_FR_UC1000PS01_8.6.1_20120306';'UCaaS Cisco HCS (1000 users)';'UC1000PS01-HCS861V1';'[[CPU1-R800][RAM2-R2][HDD80]]';'5';'none';'';'Template_FR_UC1000PS01_8.6.1_20120212';'';'[[CPU1-R800][RAM2-R2][HDD80]]';'5';'none';'';'';'';'';'';
23';'Deleted';'N.A';'SP551.f';'3.3';'CHY - Ucaas Cisco ';'UCaaS Cisco (7500 users)  8.6.1-V1';'Topologie UCaaS Cisco (7500 users)  8.6.1-V1';'?';'?';'';'UCS_VAUC7500';'Vapp UC 7500 users 8.6.1 V1  (1 Publisher,  8 Subscribers,  1 Unity et 2 CUPS)';'  UCaaS Cisco  (7500 users)';'UCS7500P01';'N.A';'';'UCS7500P01-861V1';'UCS7500P01';'UCSP01 (CUCM) 7500 users 8.6.1 V1';'';'Template_FR_UCS7500P01_8.6.1_20120306';'';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'1';'none';'';'Template_FR_UCS7500P01_8.6.1_20120212';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'1';'none';'';'';'';'';'';
24';'Deleted';'N.A';'SP551.f';'3.3';'CHY - Ucaas Cisco ';'UCaaS Cisco (7500 users)  8.6.1-V1';'Topologie UCaaS Cisco (7500 users)  8.6.1-V1';'?';'?';'';'UCS_VAUC7500';'Vapp UC 7500 users 8.6.1 V1  (1 Publisher,  8 Subscribers,  1 Unity et 2 CUPS)';'  UCaaS Cisco  (7500 users)';'UCS7500S01';'N.A';'';'UCS7500S01-861V1';'UCS7500S01';'UCSS01 (CUCM) 7500 users 8.6.1 V1';'';'Template_FR_UCS7500S01_8.6.1_20120306';'';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'2';'UCSS02';'';'Template_FR_UCS7500S01_8.6.1_20120212';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'2';'UCSS02';'';'';'';'';'';
25';'Deleted';'Obsolete';'SP551.f';'3.3';'CHY - Ucaas Cisco ';'UCaaS Cisco (7500 users)  8.6.1-V1';'Topologie UCaaS Cisco (7500 users)  8.6.1-V1';'?';'?';'';'UCS_VAUC7500';'Vapp UC 7500 users 8.6.1 V1  (1 Publisher,  8 Subscribers,  1 Unity et 2 CUPS)';'  UCaaS Cisco  (7500 users)';'UCS7500S02';'N.A';'';'UCS7500S02-861V1';'UCS7500S02';'UCSS02 (CUCM) 7500 users 8.6.1 V1';'';'Template_FR_UCS7500S02_8.6.1_20120306';'';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'5';'UCSS01';'';'Template_FR_UCS7500S02_8.6.1_20120212';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'5';'UCSS01';'';'';'';'';'';
26';'Deleted';'Obsolete';'SP551.f';'3.3';'CHY - Ucaas Cisco ';'UCaaS Cisco (7500 users)  8.6.1-V1';'Topologie UCaaS Cisco (7500 users)  8.6.1-V1';'?';'?';'';'UCS_VAUC7500';'Vapp UC 7500 users 8.6.1 V1  (1 Publisher,  8 Subscribers,  1 Unity et 2 CUPS)';'  UCaaS Cisco  (7500 users)';'UCS7500S03';'N.A';'';'UCS7500S03-861V1';'UCS7500S03';'UCSS03 (CUCM) 7500 users 8.6.1 V1';'';'Template_FR_UCS7500S03_8.6.1_20120306';'';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'3';'UCSS04';'';'Template_FR_UCS7500S03_8.6.1_20120212';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'3';'UCSS04';'';'';'';'';'';
27';'Deleted';'Obsolete';'SP551.f';'3.3';'CHY - Ucaas Cisco ';'UCaaS Cisco (7500 users)  8.6.1-V1';'Topologie UCaaS Cisco (7500 users)  8.6.1-V1';'?';'?';'';'UCS_VAUC7500';'Vapp UC 7500 users 8.6.1 V1  (1 Publisher,  8 Subscribers,  1 Unity et 2 CUPS)';'  UCaaS Cisco  (7500 users)';'UCS7500S04';'N.A';'';'UCS7500S04-861V1';'UCS7500S04';'UCSS04 (CUCM) 7500 users 8.6.1 V1';'';'Template_FR_UCS7500S04_8.6.1_20120306';'';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'6';'UCSS03';'';'Template_FR_UCS7500S04_8.6.1_20120212';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'6';'UCSS03';'';'';'';'';'';
28';'Deleted';'Obsolete';'SP551.f';'3.3';'CHY - Ucaas Cisco ';'UCaaS Cisco (7500 users)  8.6.1-V1';'Topologie UCaaS Cisco (7500 users)  8.6.1-V1';'?';'?';'';'UCS_VAUC7500';'Vapp UC 7500 users 8.6.1 V1  (1 Publisher,  8 Subscribers,  1 Unity et 2 CUPS)';'  UCaaS Cisco  (7500 users)';'UCS7500S05';'N.A';'';'UCS7500S05-861V1';'UCS7500S05';'UCSS05 (CUCM) 7500 users 8.6.1 V1';'';'Template_FR_UCS7500S05_8.6.1_20120306';'';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'4';'UCSS06';'';'Template_FR_UCS7500S05_8.6.1_20120212';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'4';'UCSS06';'';'';'';'';'';
29';'Deleted';'Obsolete';'SP551.f';'3.3';'CHY - Ucaas Cisco ';'UCaaS Cisco (7500 users)  8.6.1-V1';'Topologie UCaaS Cisco (7500 users)  8.6.1-V1';'?';'?';'';'UCS_VAUC7500';'Vapp UC 7500 users 8.6.1 V1  (1 Publisher,  8 Subscribers,  1 Unity et 2 CUPS)';'  UCaaS Cisco  (7500 users)';'UCS7500S06';'N.A';'';'UCS7500S06-861V1';'UCS7500S06';'UCSS06 (CUCM) 7500 users 8.6.1 V1';'';'Template_FR_UCS7500S06_8.6.1_20120306';'';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'7';'UCSS05';'';'Template_FR_UCS7500S06_8.6.1_20120212';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'7';'UCSS05';'';'';'';'';'';
30';'Deleted';'Obsolete';'SP551.f';'3.3';'CHY - Ucaas Cisco ';'UCaaS Cisco (7500 users)  8.6.1-V1';'Topologie UCaaS Cisco (7500 users)  8.6.1-V1';'?';'?';'';'UCS_VAUC7500';'Vapp UC 7500 users 8.6.1 V1  (1 Publisher,  8 Subscribers,  1 Unity et 2 CUPS)';'  UCaaS Cisco  (7500 users)';'UCS7500S07';'N.A';'';'UCS7500S07-861V1';'UCS7500S07';'UCSS07 (CUCM) 7500 users 8.6.1 V1';'';'Template_FR_UCS7500S07_8.6.1_20120306';'';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'8';'UCSS08';'';'Template_FR_UCS7500S07_8.6.1_20120212';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'8';'UCSS08';'';'';'';'';'';
31';'Deleted';'Obsolete';'SP551.f';'3.3';'CHY - Ucaas Cisco ';'UCaaS Cisco (7500 users)  8.6.1-V1';'Topologie UCaaS Cisco (7500 users)  8.6.1-V1';'?';'?';'';'UCS_VAUC7500';'Vapp UC 7500 users 8.6.1 V1  (1 Publisher,  8 Subscribers,  1 Unity et 2 CUPS)';'  UCaaS Cisco  (7500 users)';'UCS7500S08';'N.A';'';'UCS7500S08-861V1';'UCS7500S08';'UCSS08 (CUCM) 7500 users 8.6.1 V1';'';'Template_FR_UCS7500S08_8.6.1_20120306';'';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'9';'UCSS07';'';'Template_FR_UCS7500S08_8.6.1_20120212';'';'[[CPU4-R7200][RAM6-R6][HDD80+80]]';'9';'UCSS07';'';'';'';'';'';
